"id","map_type_id","model_id/id","field_id/id","in_value","out_value"
"map_gfmis_report_1","GFMIS Report","account.model_account_account","account.field_account_account_code",1101010001,"1101010101 - บัญชีเงินสดในมือ"
"map_gfmis_report_2","GFMIS Report","account.model_account_account","account.field_account_account_code",1101010002,"1101010101 - บัญชีเงินสดในมือ"
"map_gfmis_report_3","GFMIS Report","account.model_account_account","account.field_account_account_code",1101010003,"1102050102 - บัญชีลูกหนี้การค้า- บุคคลภายนอก"
"map_gfmis_report_4","GFMIS Report","account.model_account_account","account.field_account_account_code",1101019990,"1101010101 - บัญชีเงินสดในมือ"
"map_gfmis_report_5","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020001,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_6","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020002,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_7","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020003,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_8","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020004,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_9","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020005,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_10","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020006,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_11","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020007,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_12","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020008,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_13","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020009,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_14","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020010,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_15","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020011,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_16","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020012,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_17","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020013,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_18","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020014,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_19","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020015,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_20","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020016,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_21","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020017,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_22","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020018,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_23","GFMIS Report","account.model_account_account","account.field_account_account_code",1101020019,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_24","GFMIS Report","account.model_account_account","account.field_account_account_code",1101029990,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_25","GFMIS Report","account.model_account_account","account.field_account_account_code",1101030001,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_26","GFMIS Report","account.model_account_account","account.field_account_account_code",1101030002,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_27","GFMIS Report","account.model_account_account","account.field_account_account_code",1101030003,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_28","GFMIS Report","account.model_account_account","account.field_account_account_code",1101030004,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_29","GFMIS Report","account.model_account_account","account.field_account_account_code",1101039990,"1104010104 - บัญชีเงินฝากประจำ - INTERFACE"
"map_gfmis_report_30","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050001,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_31","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050002,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_32","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050003,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_33","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050004,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_34","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050005,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_35","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050006,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_36","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050007,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_37","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050008,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_38","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050009,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_39","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050010,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_40","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050011,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_41","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050012,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_42","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050013,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_43","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050014,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_44","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050015,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_45","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050016,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_46","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050017,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_47","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050018,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_48","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050019,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_49","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050020,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_50","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050021,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_51","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050022,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_52","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050023,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_53","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050024,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_54","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050025,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_55","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050026,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_56","GFMIS Report","account.model_account_account","account.field_account_account_code",1101050027,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_57","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060001,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_58","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060002,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_59","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060003,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_60","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060004,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_61","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060005,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_62","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060006,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_63","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060007,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_64","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060008,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_65","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060009,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_66","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060010,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_67","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060011,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_68","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060012,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_69","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060013,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_70","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060014,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_71","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060015,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_72","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060016,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_73","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060017,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_74","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060018,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_75","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060019,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_76","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060020,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_77","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060021,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_78","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060022,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_79","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060023,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_80","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060024,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_81","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060025,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_82","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060026,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_83","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060027,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_84","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060028,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_85","GFMIS Report","account.model_account_account","account.field_account_account_code",1101070001,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_86","GFMIS Report","account.model_account_account","account.field_account_account_code",1101070002,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_87","GFMIS Report","account.model_account_account","account.field_account_account_code",1101070003,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_88","GFMIS Report","account.model_account_account","account.field_account_account_code",1101070004,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_89","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080001,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_90","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080002,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_91","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080003,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_92","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080004,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_93","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080005,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_94","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080006,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_95","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080007,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_96","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080008,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_97","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080009,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_98","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080010,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_99","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080011,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_100","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080012,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_101","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080013,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_102","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080014,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_103","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080015,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_104","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080016,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_105","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080017,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_106","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080018,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_107","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080019,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_108","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080020,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_109","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080021,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_110","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080022,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_111","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080023,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_112","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080024,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_113","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080025,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_114","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080026,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_115","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080027,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_116","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080028,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_117","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080029,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_118","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090001,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_119","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090002,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_120","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090003,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_121","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090004,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_122","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090005,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_123","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090006,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_124","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090007,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
